"НАЗВАНИЕ";"ОКВЭД";"№ Нал";"дата";"БАНК";"ФИО ДИРА";"АДРЕС";"Цена"
"ООО ""КВАРТЕТ""";"51.70";36;22.04.2014;"Ланта+чековая книжка счет 21.05 ждем иб";"Кибизова Фатима Сергеевна(доступна)";"Ленинский пр-т.";30000
"ООО ""МАЛАХИТ""";"51.70";28;15.05.2014;"Профессионал счет 21.05 иб акт";"Николаева Алёна Валерьевна(доступна)";"ул. Миклухо-Маклая";30000
"ООО ""ТУРИСТИЧЕСКОЕ АГЕНТСТВО ""ОАЗИС""";"63.30";4;30.04.2014;"Тройка счет 22.05 ждем иб";"Рыжов Дмитрий Викторович(доступен)";"Кропоткинский пер.";30000
"ООО ""ТРЕЙДИНВЕСТ""";"51.7";19;08.05.2014;"Адмиралтейский банк";"Хворостинин Дмитрий Викторович";"ул. 3-я Прядильная";30000
"ООО ""МЕДПЛЮС""";"51.46";22;05.05.2014;"Ланта+чековая книжка счет 22.05 иб акт";"Шкрет Алексей Федорович(доступен)";"Танковый пр-д.";30000
"ООО ""КОНТУР ПЛЮС""";"51.70";19;08.05.2014;"Адмиралтейский счет 23.05 ждем иб";"Хворостинин Дмитрий Викторович";"Купавенский Б. пр-д.";30000
"ООО ""ЮК ПРАВО""";"74.11";29;12.05.2014;"2Тбанк подано 22.05";"Мурысова Ольга Викторовна(доступна)";"ул. Коштоянца";30000
"ООО ""ЭКСПРЕСС""";"51.70";28;12.05.2014;"Адмиралтейский счет 23.05 ждем иб";"Хворостинин Дмитрий Викторович";"Научный пр-д.";30000
"ООО «ЛЕСТЕР»";"45.21";36;12.05.2014;"Адмиралтейский счет 23.05 ждем иб";"Хворостинин Дмитрий Викторович";"Ленинский пр-т.";30000
"ООО «ЦЕЗАРЬ»";"55.11";19;13.05.2014;"Адмиралтейский счет 23.05 ждем иб";"Хворостинин Дмитрий Викторович";"ул. Парковая 7-я";30000
"ООО ""ТЕХАВТО""";"63.40";27;14.05.2014;"Адмиралтейский счет 23.05 ждем иб";"Хворостинин Дмитрий Викторович";"Нагорный б-р.";30000
"ООО «БЕСТКОНСАЛТ»";"51.70";30;20.05.2014;"2Т банк подано 23.05";"Николаева Алёна Валерьевна(доступна)";"наб. Тараса Шевченко";30000
"Компании с подачей в банк";;;;;;;
"ООО ""АВТОТЕМП""";"63.40";27;15.05.2014;"БАНК";"Илюхин Станислав Николаевич(доступен)";"Нагорный б-р.";30000
"ООО ""МАКСИМА""";"51.70";24;29.11.2013;"Сбер";"Каблукова Екатерина Константиновна получение 30 апреля 2014";"ул. Касимовская, д. 29";50000
"ООО ""ВИЗАВИ""";"51.70";18;29.04.2014;"Сбер";"Харламова Юлия Юрьевна";"ул. Николая Химушина";30000
"ООО ""АТЛАНТИКА""";"51.70";29;21.05.2014;"24 ру";"Николаева Алёна Валерьевна";"ул. Матвеевская";35000
"ООО ""СТРОИТЕЛЬНЫЕ РЕСУРСЫ""";"45.21";27;20.05.2014;"Тройка Д";"Старостина Ирина Викторовна(доступна)";"Нагорный б-р.";30000
"ООО «ДЕМЕТРА»";"51.70";27;21.05.2014;"Тройка Д";"Старостина Ирина Викторовна";"Нагорный б-р.";30000
"ООО ""ТРАСТИНВЕСТ""";"51.70";22;23.05.2014;"Сбер";"Павлычева Светлана Николаевна";"ул. Нижегородская";35000
"ООО без счетов";;;;;;;
"ООО ""ХОЛДИНГ ЦЕНТР""";"51.70";36;23.05.2014;"без счета";"Петухов Александр Сергеевич";"Ленинский пр-т.";20000
"ООО ""ТУРПРЕСТИЖ""";"63.30";9;26.05.2014;"без счета";"Петухов Александр Сергеевич";"ул. Воронцово поле";20000
"ООО ""ФОРЛИНК""";"45.21";27;26.05.2014;"без счета";"Петухов Александр Сергеевич";"ул. Винокурова";20000
"ООО ""ОПТИМ ПЛЮС""";"51.70";7;26.05.2014;"без счета";"Павлычева Светлана Николаевна";"ул. Садовая-Самотечная";20000
"ООО ""АВАНТАСЕРВИС""";"51.70";29;26.05.2014;"без счета";"Павлычева Светлана Николаевна";"ул. Коштоянца";20000
"Компании на регистрации";;;;;;;
"ООО ""СИТИМАРКЕТ""";"51.70";17;27.05.2014;"без счета";"Петухов Александр Сергеевич";"ул. Калибровская";"в налоговой"
"ООО ""ВИЛЛАДЖИО""";"51.70";7;27.05.2014;"без счета";"Новиков Михаил Алексеевич";"ул. Садовая-Самотечная";"в налоговой"
"ООО ""СИТИГРУПП""";"51.70";29;27.05.2014;"без счета";"Новиков Михаил Алексеевич";"ул. Коштоянца";"в налоговой"
"ООО ""ПРОЛОГ""";"51.70";1;28.05.2014;"без счета";"Новиков Михаил Алексеевич";"ул. Фридриха Энгельса";"в налоговой"
"ООО ""ЭЛИГИЯ""";"51.70";10;28.05.2014;"без счета";"Новиков Михаил Алексеевич";"ул. Большая Садовая";"в налоговой"
"ООО ""СТРОЙ-ПРОФИТ""";"45.21";20;28.05.2014;"без счета";"Гробов Руслан Васильевич";"ул. Плющева";"в налоговой"
"ООО ""РИДАН""";"74.40";33;28.05.2014;"без счета";"Кузнецов Константин Николаевич";"Куркинское ш.";"в налоговой"
"ООО ""МИДАС""";"70.20";20;28.05.2014;"без счета";"Кузнецов Константин Николаевич";"ул. Плющева";"в налоговой"
"ООО «ДИСКАВЕРИ»";"63.40";20;28.05.2014;"без счета";"Кузнецов Константин Николаевич";"Свободный пр-т.";"в налоговой"
